icao	latitude	longitude	elev	name	state	country	wban	ncei_id	county	timezone
KABR	45.4558299999999988	-98.4130600000000015	"1302"	ABERDEEN	SD	UNITED STATES	"14929"	"30001794"	BROWN	"-6"
KABX	35.1497200000000021	-106.8233299999999986	"5870"	ALBUQUERQUE	NM	UNITED STATES	"03019"	"30001795"	BERNALILLO	"-7"
KAKQ	36.9838900000000024	-77.0074999999999932	"112"	NORFOLK RICH	VA	UNITED STATES	"93773"	"30001796"	SUSSEX	"-5"
KAMA	35.2333300000000023	-101.7088899999999967	"3587"	AMARILLO	TX	UNITED STATES	"23047"	"30001797"	POTTER	"-6"
KAMX	25.6105599999999995	-80.4130600000000015	"14"	MIAMI	FL	UNITED STATES	"12899"	"30001798"	DADE	"-5"
KAPX	44.9072200000000024	-84.7197199999999953	"1464"	GAYLORD	MI	UNITED STATES	"04837"	"30001799"	ANTRIM	"-5"
KARX	43.8227800000000016	-91.1911099999999948	"1276"	LA CROSSE	WI	UNITED STATES	"94987"	"30001800"	LA CROSSE	"-6"
KATX	48.1947199999999967	-122.4944399999999973	"494"	SEATTLE	WA	UNITED STATES	"94287"	"30001801"	ISLAND	"-8"
KBBX	39.4961100000000016	-121.6316699999999997	"173"	BEALE AFB	CA	UNITED STATES	"93240"	"30001802"	BUTTE	"-8"
KBGM	42.1997199999999992	-75.9849999999999994	"1606"	BINGHAMTON	NY	UNITED STATES	"04725"	"30001807"	BROOME	"-5"
KBHX	40.4983300000000028	-124.2919399999999968	"2402"	EUREKA	CA	UNITED STATES	"94289"	"30001808"	HUMBOLDT	"-8"
KBIS	46.7708299999999966	-100.7602799999999945	"1658"	BISMARCK	ND	UNITED STATES	"24011"	"30001809"	BURLEIGH	"-6"
KBLX	45.8538899999999998	-108.6061100000000010	"3598"	BILLINGS	MT	UNITED STATES	"94046"	"30001811"	YELLOWSTONE	"-7"
KBMX	33.1719399999999993	-86.7697200000000066	"645"	BIRMINGHAM	AL	UNITED STATES	"53823"	"30001812"	SHELBY	"-6"
KBOX	41.9558299999999988	-71.1375000000000028	"118"	BOSTON	MA	UNITED STATES	"54765"	"30001813"	BRISTOL	"-5"
KBRO	25.9155599999999993	-97.4186100000000010	"23"	BROWNSVILLE	TX	UNITED STATES	"12919"	"30001814"	CAMERON	"-6"
KBUF	42.9486100000000022	-78.7369400000000041	"693"	BUFFALO	NY	UNITED STATES	"14733"	"30001815"	ERIE	"-5"
KBYX	24.5969400000000000	-81.7033299999999940	"8"	KEY WEST	FL	UNITED STATES	"92804"	"30001816"	MONROE	"-5"
KCAE	33.9486100000000022	-81.1186100000000039	"231"	COLUMBIA	SC	UNITED STATES	"13883"	"30001781"	LEXINGTON	"-5"
KCBW	46.0391699999999986	-67.8069399999999973	"746"	HOULTON	ME	UNITED STATES	"94625"	"30001782"	AROOSTOOK	"-5"
KCBX	43.4908300000000025	-116.2344400000000064	"3061"	BOISE	ID	UNITED STATES	"04101"	"30001817"	ADA	"-7"
KCCX	40.9230599999999995	-78.0038899999999984	"2405"	STATE COLLEGE	PA	UNITED STATES	"54764"	"30001783"	CENTRE	"-5"
KCLE	41.4130600000000015	-81.8599999999999994	"763"	CLEVELAND	OH	UNITED STATES	"14820"	"30001818"	CUYAHOGA	"-5"
KCLX	32.6555600000000013	-81.0422200000000004	"97"	CHARLESTON	SC	UNITED STATES	"53845"	"30001819"	BEAUFORT	"-5"
KCRI	35.2383000000000024	-97.4602000000000004	"1201"	ROC FAA REDUNDANT RDA 1	OK	UNITED STATES		"30078819"	CLEVELAND	"-6"
KCRP	27.7838899999999995	-97.5108299999999986	"45"	CORPUS CHRISTI	TX	UNITED STATES	"12924"	"30001821"	NUECES	"-6"
KCXX	44.5111100000000022	-73.1663900000000069	"317"	BURLINGTON	VT	UNITED STATES	"54774"	"30001822"	CHITTENDEN	"-5"
KCYS	41.1519400000000033	-104.8061100000000039	"6128"	CHEYENNE	WY	UNITED STATES	"24018"	"30001823"	LARAMIE	"-7"
KDAX	38.5011099999999971	-121.6766700000000014	"30"	SACRAMENTO	CA	UNITED STATES	"93235"	"30001824"	YOLO	"-8"
KDDC	37.7608299999999986	-99.9683299999999946	"2590"	DODGE CITY	KS	UNITED STATES	"13985"	"30001825"	FORD	"-6"
